LoserId,SurvivorId,LoserName,SurvivorName,LoserFuzzy,SurvivorFuzzy,RejectedAtUtc
18897,70002,"School District 5 Southeast Kootenay","Southeast Kootenay School District (SD5)",schooldistrict5southeastkootenay,southeastkootenayschooldistrictschooldistrict5,2026-06-07T05:47:32.7996145Z
70000,54415,"Central Okanagan Public Schools (SD23)","School District 23",centralokanaganpublicschoolsschooldistrict23,schooldistrict23,2026-06-07T05:47:32.8005514Z
74023,54415,"School District 23 (Central Okanagan)","School District 23",schooldistrict23centralokanagan,schooldistrict23,2026-06-07T05:47:32.8011061Z
71410,54542,"Chilliwack School District (SD33)","School District 33",chilliwackschooldistrictschooldistrict33,schooldistrict33,2026-06-07T05:47:32.8013516Z
73876,54542,"School District 33 Chilliwack","School District 33",schooldistrict33chilliwack,schooldistrict33,2026-06-07T05:47:32.8015480Z
74048,68848,"School District 34 (Abbotsford)","Abbotsford School District (SD34)",schooldistrict34abbotsford,abbotsfordschooldistrictschooldistrict34,2026-06-07T05:47:32.8017690Z
74049,68849,"School District 35 (Langley)","Langley School District (SD35)",schooldistrict35langley,langleyschooldistrictschooldistrict35,2026-06-07T05:47:32.8020263Z
71411,53678,"Surrey School District (SD36)","School District 36",surreyschooldistrictschooldistrict36,schooldistrict36,2026-06-07T05:47:32.8023566Z
73823,53678,"School District 36 Surrey","School District 36",schooldistrict36surrey,schooldistrict36,2026-06-07T05:47:32.8025592Z
74045,68851,"School District 38 (Richmond)","Richmond School District (SD38)",schooldistrict38richmond,richmondschooldistrictschooldistrict38,2026-06-07T05:47:32.8028289Z
71412,53840,"Vancouver School Board (SD39)","School District 39",vancouverschoolboardschooldistrict39,schooldistrict39,2026-06-07T05:47:32.8031806Z
74040,53840,"School District 39 (Vancouver)","School District 39",schooldistrict39vancouver,schooldistrict39,2026-06-07T05:47:32.8034651Z
74043,53687,"School District 40 (New Westminster)","School District 40",schooldistrict40newwestminster,schooldistrict40,2026-06-07T05:47:32.8037116Z
74042,68853,"School District 41 (Burnaby)","Burnaby School District (SD41)",schooldistrict41burnaby,burnabyschooldistrictschooldistrict41,2026-06-07T05:47:32.8039736Z
71413,53966,"Coquitlam School District (SD43)","School District 43",coquitlamschooldistrictschooldistrict43,schooldistrict43,2026-06-07T05:47:32.8042244Z
74041,53966,"School District 43 (Coquitlam)","School District 43",schooldistrict43coquitlam,schooldistrict43,2026-06-07T05:47:32.8044779Z
74046,69571,"School District 45 (West Vancouver)","West Vancouver School District (SD45)",schooldistrict45westvancouver,westvancouverschooldistrictschooldistrict45,2026-06-07T05:47:32.8046963Z
73871,54197,"School District 60 Peace River North","School District 60",schooldistrict60peacerivernorth,schooldistrict60,2026-06-07T05:47:32.8048684Z
74024,69115,"School District 67 (Okanagan Skaha)","School District 67 (Okanagan Skaha / Penticton)",schooldistrict67okanaganskaha,schooldistrict67okanaganskahapenticton,2026-06-07T05:47:32.8050255Z
74008,69991,"School District 71 (Comox Valley)","School District 71 (Comox Valley) / BGC Central Vancouver Island",schooldistrict71comoxvalley,schooldistrict71comoxvalleybgccentralvancouverisland,2026-06-07T05:47:32.8051978Z
70029,53773,"Conseil scolaire francophone de la C.-B. (SD93)","School District 93 (Conseil Scolaire Francophone)",conseilscolairefrancophonedelacbschooldistrict93,schooldistrict93conseilscolairefrancophone,2026-06-07T05:47:32.8053645Z
70954,53773,"Conseil Scolaire Francophone de la Colombie Britannique (SD93)","School District 93 (Conseil Scolaire Francophone)",conseilscolairefrancophonedelacolombiebritanniqueschooldistrict93,schooldistrict93conseilscolairefrancophone,2026-06-07T05:47:32.8055497Z
71997,53773,"School District 93 Francophone Education Authority","School District 93 (Conseil Scolaire Francophone)",schooldistrict93francophoneeducationauthority,schooldistrict93conseilscolairefrancophone,2026-06-07T05:47:32.8057250Z
21489,69644,"Westbank Corp","Westbank Projects Corp.",westbank,westbankprojects,2026-06-07T05:47:32.8059256Z
73784,40313,"Westbank First Nation (WFN)","Westbank First Nation",westbankfirstnationwfn,westbankfirstnation,2026-06-07T05:47:32.8060974Z
55028,40313,"Westbank First Nation (lease)","Westbank First Nation",westbankfirstnationlease,westbankfirstnation,2026-06-07T05:47:32.8062468Z
# run 2026-06-12T05:52:42.6525627Z
75135,2555,"ARC STUDIO ARCHITECTURE LTD.","Arc Studio",arcstudioarchitecture,arcstudio,2026-06-12T05:52:42.6534611Z
75096,660,"BC Parks - Provincial Services Branch
Ministry of Environment and Parks","BC Parks - Provincial Services Branch Ministry of Environment and Parks",bcparksprovincialservicesbranch
ministryofenvironmentandparks,bcparksprovincialservicesbranchministryofenvironmentandparks,2026-06-12T05:52:44.4317913Z
74349,5665,"Cushman Wakefield","Cushman & Wakefield Ltd.",cushmanwakefield,cushmanandwakefield,2026-06-12T05:52:48.0758527Z
75148,70232,"District Offices - West Coast Region
Ministry of Forests","District Offices - West Coast Region Ministry of Forests",districtofficeswestcoastregion
ministryofforests,districtofficeswestcoastregionministryofforests,2026-06-12T05:52:49.2884860Z
75099,73853,"Engineering Branch
Integrated Resource Operations Division
Ministry of Forests
Southern Engineering Group","Engineering Branch Integrated Resource Operations Division Ministry of ForestsSouthern Engineering Group",engineeringbranch
integratedresourceoperationsdivision
ministryofforests
southernengineeringgroup,engineeringbranchintegratedresourceoperationsdivisionministryofforestssouthernengineeringgroup,2026-06-12T05:52:52.4198446Z
74617,74478,"GELDER,GINGRAS ASSOCIATES","Gelder, Gingras & Associates Inc.",geldergingrasassociates,geldergingrasandassociates,2026-06-12T05:52:52.4204754Z
