OrgId,OrgName,Kind,ClendorClientId,DeltekName,Score
70108,AC Martin,Architect,38fdc1fb21284a0bb193c97dc3e70293,AC Martin Inc.,1
70693,Aplin Martin Consultants,Architect,2FB3B9EB0FFF4E349A3313EC8E6B7C2C,Aplin & Martin Consultants Ltd.,1
69802,Appia Development,Buyer,CL00013,Appia Developments Ltd.,1
70993,Beedie,Buyer,b3f3f194cb494f36ad62580fe5bdd1bf,Beedie Construction Ltd.,1
70991,Birmingham & Wood Architects & Planners,Architect,CL00456,Birmingham & Wood Architects & Planners,1
71099,BlueSky Properties Inc.,Buyer,CL00049,BlueSky Properties Inc.,1
69806,Boffo Developments,Buyer,f7cf3d8e58614009a51a242ff4d960b9,Boffo Construction Group Inc.,1
69692,Bold Properties,Buyer,CL00045,Bold Construction,1
70958,Bonnis Properties,Buyer,CL00046,Bonnis Properties,1
69798,CA Ventures,Buyer,CEA7D87154FC48C3B25E64188E70F3AA,CA Ventures,1
70715,Carscadden Stokes McDonald Architects,Architect,CL00534,Carscadden Stokes McDonald Architects Inc.,1
54007,City of North Vancouver,Buyer,CL00547,City of North Vancouver,1
71095,Dayhu Group of Companies,Buyer,CL00105,Dayhu Group of Companies,1
71074,EKISTICS Architecture Inc.,Architect,1d8f860d6a8d4741b1eb72e12a2a1d81,Ekistics Architecture,1
71094,FNDA Architecture Inc.,Architect,CL00147,FNDA Architecture Inc.,1
71022,Forefield Development Group,Buyer,41843031F5D342DCA45A831C3E67CDF3,Forefield Development Group,1
70608,Fort Properties Ltd,Buyer,312C54275B714411AA5F27AB04830856,FORT Architecture,1
71098,Gateway Architecture Inc.,Architect,CL00479,Gateway Architecture Inc.,1
70737,Greystar,Buyer,f84e05e9959543c0b00da1752eac4153,Greystar,1
71250,Integra Architecture Inc.,Architect,CL00202,Integra Architecture Inc.,1
70587,Joe Newell Architect Inc.,Architect,9b80256a88c243b89510866b87a7c635,Joe Newell Architect,1
71067,JTA Development,Buyer,631c5dc8c5fa4466b794543f56bcfdcc,JTA Development Consultants,1
70723,Kumar Architecture,Architect,6d319f05208046ce8be7ebd0ec8a2da8,Kumar Architecture Ltd.,1
70620,Lovick Scott Architects,Architect,CL00593,Lovick Scott Architects Ltd.,1
70684,Mallen Gowing Berzins Architecture,Architect,CL00257,Mallen Gowing Berzins Architecture Inc.,1
71024,Marcon Group of Companies,Buyer,CL00261,Marcon Group of Companies,1
70677,Nelson Investments,Buyer,3D42310BB3DE4987A0DF14C8569609DF,"Nelson Investments, Inc.",1
71134,Next Architecture,Architect,15b81ee9c46f47c2800a013dcc9e2093,Next Architecture Inc.,1
70681,NOvation Architecture,Architect,12b21c1fa2774a23a92ad245598a28b9,Novation Architecture Ltd.,1
69810,Orca West Development,Buyer,CL00312,Orca West Developments Ltd.,1
69804,Qualex-Landmark,Buyer,CL00343,Qualex-Landmark,1
69799,Reliance Holdings,Buyer,e04aebd520c846ba930fb4567abb4611,Reliance Holdings Ltd.,1
70906,SDAE Development Co.,Buyer,20EA36389F9E4F018C546045DF6A39A8,SDAE Development,1
70927,Serracan Properties Ltd.,Buyer,2D5FED351091420CB507FCAAD34CFE24,Serracan Properties,1
70984,Site Lines Architecture,Architect,CL00504,Site Lines Architecture,1
71109,StreetSide Development,Buyer,CL00391,StreetSide Developments Ltd.,1
70799,Three Dog Ventures,Buyer,2e3b57c723c345e0bb950ef941100fba,Three Dog Ventures Ltd.,1
69807,TL Housing Solutions Ltd.,Buyer,B0D0B6908B474A7F84AFC8CFEA8FF64F,TL Housing Solutions Ltd.,1
70739,Union Architecture Inc.,Architect,700feabcb69e4fc993359c2ea438749b,"Union Architecture, Inc.",1
